,Country,Year,PM2.5,Life Expectancy
751,Czechia,2014,19,
752,Czechia,2016,16,
753,Czechia,2016,25,
754,Czechia,2016,15,
755,Czechia,2016,13,
756,Czechia,2016,4,
757,Czechia,2016,23,
758,Czechia,2016,20,
759,Czechia,2016,10,
760,Czechia,2016,19,
761,Czechia,2016,24,
762,Czechia,2016,15,
763,Czechia,2016,21,
764,Czechia,2016,20,
765,Czechia,2016,16,
766,Germany,2015,11,
767,Germany,2016,8,
768,Germany,2014,14,
769,Germany,2016,12,
770,Germany,2016,12,
771,Germany,2016,11,
772,Germany,2016,12,
773,Germany,2016,10,
774,Germany,2013,13,
775,Germany,2014,13,
776,Germany,2016,12,
777,Germany,2016,13,
778,Germany,2016,12,
779,Germany,2016,9,
780,Germany,2016,16,
781,Germany,2016,15,
782,Germany,2015,14,
783,Germany,2016,16,
784,Germany,2016,13,
785,Germany,2016,14,
786,Germany,2016,13,
787,Germany,2016,12,
788,Germany,2016,12,
789,Germany,2013,13,
790,Germany,2016,12,
791,Germany,2013,13,
792,Germany,2016,13,
793,Germany,2016,11,
794,Germany,2016,10,
795,Germany,2016,12,
796,Germany,2015,13,
797,Germany,2016,11,
798,Germany,2013,11,
799,Germany,2016,15,
800,Germany,2016,15,
801,Germany,2016,13,
802,Germany,2016,14,
803,Germany,2016,13,
804,Germany,2016,12,
805,Germany,2016,12,
806,Germany,2016,16,
807,Germany,2016,17,
808,Germany,2016,15,
809,Germany,2016,11,
810,Germany,2013,9,
811,Germany,2016,13,
812,Germany,2016,11,
813,Germany,2013,18,
814,Germany,2016,16,
815,Germany,2013,16,
816,Germany,2016,13,
817,Germany,2013,13,
818,Germany,2016,11,
819,Germany,2016,14,
820,Germany,2016,7,
821,Germany,2016,14,
822,Germany,2016,13,
823,Germany,2013,11,
824,Germany,2016,11,
825,Germany,2016,12,
826,Germany,2016,12,
827,Germany,2016,11,
828,Germany,2016,15,
829,Germany,2016,14,
830,Germany,2016,12,
831,Germany,2016,9,
832,Germany,2016,14,
833,Germany,2016,14,
834,Germany,2013,8,
835,Germany,2016,12,
836,Germany,2016,12,
837,Germany,2016,12,
838,Germany,2016,12,
839,Germany,2016,11,
840,Germany,2016,11,
841,Germany,2016,13,
842,Germany,2016,10,
843,Germany,2016,12,
844,Germany,2016,11,
845,Germany,2016,12,
846,Germany,2016,15,
847,Germany,2013,14,
848,Germany,2015,12,
849,Germany,2016,15,
850,Germany,2016,13,
851,Germany,2016,12,
852,Germany,2016,12,
853,Germany,2016,13,
854,Germany,2016,10,
855,Germany,2016,12,
856,Germany,2016,10,
857,Germany,2013,15,
858,Germany,2016,13,
859,Germany,2016,14,
860,Germany,2016,12,
861,Germany,2016,13,
862,Germany,2016,14,
863,Germany,2016,6,
864,Germany,2016,13,
865,Germany,2016,8,
866,Germany,2015,14,
867,Germany,2016,12,
868,Germany,2014,16,
869,Germany,2016,5,
870,Germany,2015,13,
871,Germany,2016,12,
872,Germany,2013,10,
873,Germany,2013,11,
874,Germany,2016,11,
875,Germany,2013,13,
876,Germany,2016,11,
877,Germany,2016,13,
878,Germany,2016,13,
879,Germany,2016,11,
880,Germany,2015,9,
881,Germany,2016,6,
882,Germany,2013,7,
883,Germany,2016,11,
884,Germany,2016,15,
885,Germany,2016,13,
886,Germany,2013,12,
887,Germany,2016,15,
888,Germany,2016,13,
889,Germany,2016,11,
890,Germany,2016,15,
891,Germany,2016,14,
892,Germany,2016,15,
893,Germany,2016,11,
