,Year,Age,Value
688,1993,43965,204.4588363
689,1994,<5,9431.236489
690,1994,>70,1771.515396
691,1994,50-69,2480.108828
692,1994,43965,215.7282206
693,1995,<5,9461.487717
694,1995,>70,1802.141257
695,1995,50-69,2491.624777
696,1995,43965,216.7707122
697,1996,<5,9434.619622
698,1996,>70,1813.881771
699,1996,50-69,2441.306061
700,1996,43965,200.1105927
701,1997,<5,9309.91482
702,1997,>70,1830.064874
703,1997,50-69,2421.579203
704,1997,43965,194.2279952
705,1998,<5,9168.12747
706,1998,>70,1884.089797
707,1998,50-69,2506.76042
708,1998,43965,225.5646783
709,1999,<5,8984.71004
710,1999,>70,1886.081005
711,1999,50-69,2461.67313
712,1999,43965,213.595229
713,2000,<5,8792.131012
714,2000,>70,1899.902315
715,2000,50-69,2472.562701
716,2000,43965,208.8976447
717,2001,<5,8458.449827
718,2001,>70,1874.819582
719,2001,50-69,2416.883717
720,2001,43965,200.986714
721,2002,<5,8152.580302
722,2002,>70,1871.335501
723,2002,50-69,2387.828702
724,2002,43965,196.1341255
725,2003,<5,7726.106273
726,2003,>70,1872.154452
727,2003,50-69,2386.046603
728,2003,43965,192.0984837
729,2004,<5,7830.339998
730,2004,>70,1896.537935
731,2004,50-69,2425.327177
732,2004,43965,203.5586087
733,2005,<5,7373.929979
734,2005,>70,1850.022161
735,2005,50-69,2353.722018
736,2005,43965,195.1038168
737,2006,<5,6826.126518
738,2006,>70,1826.468518
739,2006,50-69,2324.593531
740,2006,43965,187.5058925
741,2007,<5,6325.98879
742,2007,>70,1785.224335
743,2007,50-69,2255.552211
744,2007,43965,180.4342036
745,2008,<5,5794.96423
746,2008,>70,1786.915647
747,2008,50-69,2243.781125
748,2008,43965,174.3415256
749,2009,<5,5132.930462
750,2009,>70,1773.815433
751,2009,50-69,2204.056125
752,2009,43965,162.9999687
753,2010,<5,4668.110272
754,2010,>70,1774.866653
755,2010,50-69,2162.252595
756,2010,43965,158.2317393
757,2011,<5,4145.309475
758,2011,>70,1780.054895
759,2011,50-69,2143.410565
760,2011,43965,151.0085642
761,2012,<5,3710.142067
762,2012,>70,1781.704857
763,2012,50-69,2119.873968
764,2012,43965,145.9062724
765,2013,<5,3304.573529
766,2013,>70,1786.880897
767,2013,50-69,2098.500061
768,2013,43965,140.5388729
769,2014,<5,2960.74707
770,2014,>70,1766.542793
771,2014,50-69,2038.305736
772,2014,43965,132.6401804
773,2015,<5,2720.78923
774,2015,>70,1768.015944
775,2015,50-69,2062.728324
776,2015,43965,130.3212082
777,2016,<5,2467.090853
778,2016,>70,1787.521537
779,2016,50-69,2095.197175
780,2016,43965,119.6848794
781,2017,<5,2254.73761
782,2017,>70,1810.811464
783,2017,50-69,2145.549811
784,2017,43965,116.5710524
785,1990,<5,0.047236694
786,1990,>70,2.185981292
787,1990,50-69,1.06667372
788,1990,43965,0.005985906
789,1991,<5,0.043887749
790,1991,>70,2.074299669
791,1991,50-69,1.000499485
792,1991,43965,0.005980967
793,1992,<5,0.041711791
794,1992,>70,2.008712264
795,1992,50-69,0.944753458
796,1992,43965,0.005779796
797,1993,<5,0.040998122
798,1993,>70,1.94824239
799,1993,50-69,0.893251325
800,1993,43965,0.00562279
801,1994,<5,0.040472705
802,1994,>70,1.912970805
803,1994,50-69,0.853523256
804,1994,43965,0.00537155
805,1995,<5,0.039755767
806,1995,>70,1.873064213
807,1995,50-69,0.819028742
808,1995,43965,0.005193831
809,1996,<5,0.040049532
810,1996,>70,1.810089886
811,1996,50-69,0.785452462
812,1996,43965,0.005260264
813,1997,<5,0.039893456
814,1997,>70,1.758296798
815,1997,50-69,0.736974919
816,1997,43965,0.005145334
817,1998,<5,0.039385463
818,1998,>70,1.678140031
819,1998,50-69,0.707196953
820,1998,43965,0.005000112
821,1999,<5,0.038686796
822,1999,>70,1.608951305
823,1999,50-69,0.67603948
824,1999,43965,0.004835463
825,2000,<5,0.037399889
826,2000,>70,1.559217044
827,2000,50-69,0.653571871
828,2000,43965,0.00464566
829,2001,<5,0.036770968
830,2001,>70,1.480374485
831,2001,50-69,0.613439302
832,2001,43965,0.004568535
833,2002,<5,0.0357151
834,2002,>70,1.423202368
835,2002,50-69,0.58958577
836,2002,43965,0.004413087
837,2003,<5,0.034053749
838,2003,>70,1.361840643
839,2003,50-69,0.570676454
840,2003,43965,0.004242628
841,2004,<5,0.032974935
842,2004,>70,1.28642437
843,2004,50-69,0.544773045
844,2004,43965,0.004010366
845,2005,<5,0.030805953
846,2005,>70,1.235406077
847,2005,50-69,0.530072723
848,2005,43965,0.003737137
849,2006,<5,0.028527853
850,2006,>70,1.163993862
851,2006,50-69,0.505380329
852,2006,43965,0.003440032
853,2007,<5,0.026509236
854,2007,>70,1.085295076
855,2007,50-69,0.476708136
856,2007,43965,0.003160168
857,2008,<5,0.024189478
858,2008,>70,1.029977603
859,2008,50-69,0.458074514
860,2008,43965,0.002884259
861,2009,<5,0.022413987
862,2009,>70,0.986024702
863,2009,50-69,0.448165893
864,2009,43965,0.002650142
865,2010,<5,0.021528696
866,2010,>70,0.97773846
867,2010,50-69,0.454909307
868,2010,43965,0.002497201
869,2011,<5,0.02010481
870,2011,>70,0.92969214
871,2011,50-69,0.44122449
872,2011,43965,0.002296263
873,2012,<5,0.019168452
874,2012,>70,0.941054248
875,2012,50-69,0.458699198
876,2012,43965,0.002166342
877,2013,<5,0.018125486
878,2013,>70,0.924338827
879,2013,50-69,0.455537681
880,2013,43965,0.002019927
881,2014,<5,0.016811681
882,2014,>70,0.926150376
883,2014,50-69,0.465952516
884,2014,43965,0.001883686
885,2015,<5,0.015366093
886,2015,>70,0.884927971
887,2015,50-69,0.451699073
888,2015,43965,0.001732146
889,2016,<5,0.014035069
890,2016,>70,0.879883532
891,2016,50-69,0.458900283
892,2016,43965,0.00160407
893,2017,<5,0.012807136
894,2017,>70,0.849586334
895,2017,50-69,0.448775985
896,2017,43965,0.001480017
897,1990,<5,90.81897638
898,1990,>70,2344.472852
899,1990,50-69,1432.765058
900,1990,43965,4.812021189
901,1991,<5,93.64976031
902,1991,>70,2470.618504
903,1991,50-69,1500.096607
904,1991,43965,5.15696238
905,1992,<5,83.16556703
906,1992,>70,2464.352322
907,1992,50-69,1473.615263
908,1992,43965,5.020311923
909,1993,<5,76.03927664
910,1993,>70,2414.987556
911,1993,50-69,1401.608362
912,1993,43965,4.925177203
913,1994,<5,68.89564715
914,1994,>70,2322.930898
915,1994,50-69,1327.27007
916,1994,43965,4.56139332
917,1995,<5,66.37076538
918,1995,>70,2330.942502
919,1995,50-69,1275.979581
920,1995,43965,4.287345887
921,1996,<5,63.19471611
922,1996,>70,2306.939643
923,1996,50-69,1241.33847
924,1996,43965,4.300225189
925,1997,<5,55.70647574
926,1997,>70,2360.545908
927,1997,50-69,1213.098891
928,1997,43965,4.23852233
929,1998,<5,53.61719494
930,1998,>70,2405.286157
931,1998,50-69,1167.972545
932,1998,43965,4.258849248
933,1999,<5,45.69933827
934,1999,>70,2471.598522
935,1999,50-69,1152.453924
936,1999,43965,4.079341982
937,2000,<5,41.57931054
938,2000,>70,2362.124188
939,2000,50-69,1072.593523
940,2000,43965,3.842180625
941,2001,<5,38.81165343
942,2001,>70,2366.134873
943,2001,50-69,1046.17444
944,2001,43965,3.808975373
945,2002,<5,37.69320805
946,2002,>70,2276.346938
947,2002,50-69,992.4120828
948,2002,43965,3.686869334
949,2003,<5,34.21633198
950,2003,>70,2195.175044
951,2003,50-69,924.1630912
952,2003,43965,3.342506237
953,2004,<5,26.88230461
954,2004,>70,1991.206257
955,2004,50-69,821.1993791
956,2004,43965,2.949119917
957,2005,<5,20.96762509
958,2005,>70,1794.922575
959,2005,50-69,739.1340131
960,2005,43965,2.741095993
961,2006,<5,19.1766245
962,2006,>70,1676.270579
963,2006,50-69,683.7281218
964,2006,43965,2.632059657
965,2007,<5,19.44623746
966,2007,>70,1615.394917
967,2007,50-69,656.988493
968,2007,43965,2.457203807
969,2008,<5,17.61489415
970,2008,>70,1420.365652
971,2008,50-69,586.4372356
972,2008,43965,2.250963583
973,2009,<5,15.34938443
974,2009,>70,1344.373884
975,2009,50-69,552.3509744
976,2009,43965,2.088040769
977,2010,<5,13.16912665
978,2010,>70,1283.108344
979,2010,50-69,505.7174796
980,2010,43965,1.773210632
